* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
111.515061	96.029102
113.137085	96.075657
114.782702	96.099950
116.452255	96.099950
118.146092	96.099950
119.864566	96.099950
121.608036	96.099950
123.376866	96.099950
125.171424	96.099950
126.992084	96.099950
128.839227	96.099950
130.713236	96.099950
132.614504	96.099950
134.543426	96.099950
136.500406	96.099950
138.485850	96.099950
140.500173	96.099950
142.543795	96.064691
144.617142	96.028403
146.720647	96.000143
148.854748	95.987502
151.019890	95.974676
153.216525	95.961664
155.445111	95.948463
157.706112	95.935070
160.000000	95.921481
162.327254	95.907945
164.688358	95.896454
167.083805	95.884796
169.514095	95.872969
171.979734	95.860969
174.481237	95.848795
177.019125	95.836444
179.593928	95.823914
182.206182	95.809142
184.856431	95.785454
187.545230	95.761421
190.273138	95.737039
193.040725	95.711479
195.848567	95.682898
198.697250	95.653900
201.587368	95.624482
204.519524	95.595944
207.494329	95.567070
210.512403	95.537776
213.574377	95.512097
216.680888	95.488253
219.832584	95.464062
223.030122	95.439518
226.274170	95.415580
229.565404	95.391719
232.904509	95.367512
236.292183	95.342953
239.729132	95.310083
243.216073	95.273923
246.753732	95.237382
250.342848	95.201553
253.984168	95.165203
257.678453	95.132372
261.426473	95.103696
265.229008	95.074602
269.086853	95.047207
273.000811	95.029616
276.971700	95.011769
281.000346	94.993662
285.087590	94.975292
289.234284	94.956655
293.441294	94.936653
297.709496	94.916239
302.039780	94.895527
306.433050	94.874514
310.890221	94.852599
315.412224	94.828878
320.000000	94.804813
324.654507	94.780397
329.376716	94.760125
334.167610	94.748595
339.028190	94.736898
343.959469	94.725030
348.962474	94.712991
354.038251	94.700775
359.187855	94.688383
364.412363	94.675810
369.712863	94.663174
375.090460	94.650519
380.546277	94.637679
386.081450	94.624653
391.697134	94.611437
397.394500	94.598029
403.174736	94.584426
409.039048	94.569538
414.988657	94.549336
421.024807	94.528840
427.148753	94.508046
433.361775	94.486950
439.665167	94.481585
446.060244	94.488646
452.548340	94.495809
459.130807	94.503077
465.809019	94.510451
472.584367	94.517931
479.458265	94.525521
486.432146	94.533221
493.507464	94.541033
500.685695	94.548958
507.968337	94.556999
515.356906	94.565157
522.852945	94.573375
530.458016	94.580383
538.173706	94.587492
546.001623	94.594706
553.943399	94.602024
562.000691	94.609449
570.175180	94.616981
578.468569	94.624623
586.882588	94.632377
595.418991	94.640243
604.079560	94.648223
612.866100	94.656320
621.780442	94.664534
630.824447	94.706041
640.000000	94.766942
649.309014	94.781844
658.753431	94.796962
668.335221	94.812300
678.056380	94.827862
687.918938	94.843650
697.924949	94.859667
708.076501	94.875918
718.375711	94.892404
728.824726	94.909131
739.425726	94.926101
750.180921	94.943318
761.092554	94.979327
772.162900	95.051197
783.394268	95.093372
794.789000	95.136160
806.349472	95.179570
818.078095	95.223612
829.977315	95.268295
842.049613	95.313627
854.297507	95.359619
866.723550	95.406280
879.330334	95.448196
892.120489	95.484207
905.096680	95.520742
918.261614	95.550700
931.618037	95.579523
945.168733	95.608764
958.916529	95.647879
972.864291	95.696173
987.014928	95.678776
1001.371391	95.606283
1015.936673	95.533805
1030.713812	95.407828
1045.705890	95.311620
1060.916032	95.201240
1076.347412	95.175141
1092.003245	95.223499
1107.886798	95.333732
1124.001383	95.573869
1140.350359	95.718508
1156.937137	95.790750
1173.765175	95.912958
1190.837983	96.030969
1208.159120	96.107130
1225.732199	96.251859
1243.560885	96.343568
1261.648894	96.446049
1280.000000	96.590906
1298.618029	96.735669
1317.506863	96.824047
1336.670442	96.896465
1356.112761	96.979258
1375.837875	97.088982
1395.849898	97.173435
1416.153002	97.281501
1436.751422	97.354008
1457.649452	97.426442
1478.851452	97.498723
1500.361842	97.571110
1522.185107	97.637955
1544.325799	97.686046
1566.788535	97.740685
1589.577999	97.813191
1612.698944	97.871501
1636.156190	97.929654
1659.954630	97.988653
1684.099226	98.048510
1708.595013	98.109238
1733.447100	98.170849
1758.660669	98.233356
1784.240977	98.297012
1810.193360	98.369281
1836.523229	98.489519
1863.236074	98.561812
1890.337467	98.687563
1917.833058	98.832312
1945.728583	98.977167
1974.029857	99.121932
2002.742782	99.266771
2031.873347	99.411553
2061.427625	99.556377
2091.411780	99.701175
2121.832065	99.941414
2152.694823	100.086228
2184.006490	100.231022
2215.773596	100.375852
2248.002765	100.551558
2280.700718	100.760907
2313.874274	101.001100
2347.530351	101.145963
2381.675966	101.386141
2416.318240	101.531021
2451.464399	101.675753
2487.121769	101.820649
2523.297789	102.009589
2560.000000	102.205709
2597.236057	102.421558
2635.013726	102.686184
2673.340883	102.881761
2712.225522	103.070307
2751.675750	103.215539
2791.699796	103.456245
2832.306004	103.658513
2873.502844	103.841277
2915.298905	103.986028
2957.702904	104.226310
3000.723683	104.371078
3044.370214	104.534090
3088.651599	104.756128
3133.577071	104.900950
3179.155999	105.116615
3225.397888	105.310799
3272.312380	105.526233
3319.909260	105.766454
3368.198452	105.911287
3417.190027	106.056063
3466.894200	106.160284
3517.321337	106.232774
3568.481954	106.305263
3620.386720	106.244272
3673.046457	106.171902
3726.472148	106.099427
3780.674934	106.026890
3835.666117	105.789004
3891.457165	105.549855
3948.059713	105.260456
4005.485564	104.968506
4063.746693	104.585794
4122.855250	104.189694
