* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
6001.447367	65.807418
6088.740429	66.227274
6177.303198	66.647139
6267.154142	67.069683
6358.311998	67.498896
6450.795775	67.873289
6544.624761	68.192861
6639.818520	68.450288
6736.396904	68.590888
6834.380053	68.661250
6933.788400	68.597168
7034.642675	68.509257
7136.963909	68.376883
7240.773439	68.244520
7346.092914	68.154254
7452.944296	68.134765
7561.349867	68.200386
7671.332234	68.348580
7782.914330	68.508375
7896.119426	68.596651
8010.971128	68.524041
8127.493386	68.182748
8245.710500	67.559943
8365.647121	66.572110
8487.328260	65.383709
8610.779292	64.114757
8736.025961	62.901625
8863.094385	61.834301
8992.011061	60.875602
9122.802874	60.081363
9255.497097	59.415090
9390.121402	58.885578
9526.703863	58.520135
9665.272962	58.479881
9805.857594	58.665047
9948.487077	59.120554
10093.191154	59.759707
10240.000000	60.398870
10388.944230	60.875375
10540.054903	61.249763
10693.363532	61.436819
10848.902086	61.507068
11006.703001	61.514343
11166.799182	61.449821
11329.224017	61.264202
11494.011375	60.999463
11661.195620	60.647071
11830.811616	60.227222
12002.894734	59.766621
12177.480858	59.332673
12354.606395	58.857999
12534.308283	58.383344
12716.623996	57.908679
12901.591551	57.565687
13089.249521	57.566608
13279.637040	58.039517
13472.793808	59.098499
13668.760107	60.416125
13867.576801	61.685027
14069.285350	62.508336
14273.927818	62.653400
14481.546879	62.244039
14692.185828	61.502753
14905.888592	60.763353
15122.699734	60.245553
15342.664467	60.146634
15565.828661	60.448427
15792.238852	60.932954
16021.942256	61.283885
16254.986772	61.133085
16491.420999	60.466790
16731.294241	59.472500
16974.656520	58.313192
17221.558584	56.989400
17472.051922	55.412258
17726.188769	53.559059
17984.022122	51.325411
18245.605748	48.526142
18510.994194	45.029028
18780.242805	41.248403
19053.407727	39.640385
19330.545924	41.832417
19611.715189	44.056334
19896.974155	46.184211
20186.382308	46.184211
