* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
84.757048	58.367573
85.989867	58.433737
87.240619	58.492884
88.509563	58.545834
89.796964	58.598785
91.103091	58.647983
92.428216	58.691012
93.772615	58.728809
95.136569	58.766574
96.520362	58.802071
97.924283	58.831423
99.348625	58.858625
100.793684	58.882616
102.259762	58.906844
103.747164	58.930739
105.256202	58.954981
106.787188	58.973316
108.340444	58.990917
109.916292	59.008773
111.515061	59.017060
113.137085	59.022283
114.782702	59.027582
116.452255	59.032959
118.146092	59.038413
119.864566	59.043947
121.608036	59.049561
123.376866	59.055257
125.171424	59.061036
126.992084	59.066899
128.839227	59.064344
130.713236	59.059830
132.614504	59.055251
134.543426	59.050605
136.500406	59.045892
138.485850	59.041110
140.500173	59.036258
142.543795	59.031336
144.617142	59.026342
146.720647	59.021276
148.854748	59.016136
151.019890	59.009779
153.216525	59.001789
155.445111	58.993682
157.706112	58.985458
160.000000	58.977114
162.327254	58.968649
164.688358	58.960060
167.083805	58.954108
169.514095	58.948763
171.979734	58.943339
174.481237	58.937836
177.019125	58.932254
179.593928	58.926590
182.206182	58.920844
184.856431	58.915014
187.545230	58.909100
190.273138	58.903153
193.040725	58.897863
195.848567	58.892497
198.697250	58.887052
201.587368	58.881528
204.519524	58.875924
207.494329	58.870238
210.512403	58.864470
213.574377	58.858618
216.680888	58.852680
219.832584	58.847136
223.030122	58.842470
226.274170	58.837737
229.565404	58.832934
232.904509	58.828062
236.292183	58.823118
239.729132	58.818103
243.216073	58.813015
246.753732	58.807853
250.342848	58.802616
253.984168	58.797302
257.678453	58.794887
261.426473	58.797772
265.229008	58.800698
269.086853	58.803667
273.000811	58.806680
276.971700	58.809736
281.000346	58.812836
285.087590	58.815982
289.234284	58.819173
293.441294	58.822411
297.709496	58.825696
302.039780	58.829029
306.433050	58.832410
310.890221	58.835840
315.412224	58.839321
320.000000	58.842851
324.654507	58.846434
329.376716	58.847095
334.167610	58.842862
339.028190	58.838566
343.959469	58.834209
348.962474	58.829788
354.038251	58.825302
359.187855	58.820752
364.412363	58.816135
369.712863	58.811451
375.090460	58.806699
380.546277	58.801877
386.081450	58.796986
391.697134	58.789348
397.394500	58.776979
403.174736	58.764429
409.039048	58.751697
414.988657	58.739287
421.024807	58.752230
427.148753	58.765360
433.361775	58.778682
439.665167	58.792197
446.060244	58.804147
452.548340	58.816024
459.130807	58.828073
465.809019	58.840298
472.584367	58.854258
479.458265	58.871721
486.432146	58.889438
493.507464	58.908197
500.685695	58.930091
507.968337	58.952304
515.356906	58.979662
522.852945	59.009205
530.458016	59.041696
538.173706	59.075878
546.001623	59.113691
553.943399	59.156273
562.000691	59.200395
570.175180	59.244554
578.468569	59.288751
586.882588	59.332820
595.418991	59.376900
604.079560	59.425878
612.866100	59.474282
621.780442	59.520836
630.824447	59.573793
640.000000	59.624984
649.309014	59.669159
658.753431	59.721721
668.335221	59.774659
678.056380	59.819724
687.918938	59.869537
697.924949	59.922484
708.076501	59.975432
718.375711	60.028381
728.824726	60.081331
739.425726	60.134281
750.180921	60.183411
761.092554	60.226390
772.162900	60.264191
783.394268	60.295704
794.789000	60.325251
806.349472	60.351937
818.078095	60.378542
829.977315	60.366224
842.049613	60.344143
854.297507	60.319635
866.723550	60.290266
879.330334	60.294147
892.120489	60.335953
905.096680	60.368992
918.261614	60.413177
931.618037	60.473061
945.168733	60.554600
958.916529	60.642826
972.864291	60.749345
987.014928	60.855866
1001.371391	60.977641
1015.936673	61.082596
1030.713812	61.193730
1045.705890	61.318560
1060.916032	61.424924
1076.347412	61.531607
1092.003245	61.638120
1107.886798	61.762913
1124.001383	61.869448
1140.350359	61.977139
1156.937137	62.082515
1173.765175	62.189027
1190.837983	62.313803
1208.159120	62.424382
1225.732199	62.556747
1243.560885	62.661707
1261.648894	62.794116
1280.000000	62.926458
1298.618029	63.058844
1317.506863	63.191218
1336.670442	63.323581
1356.112761	63.455988
1375.837875	63.588328
1395.849898	63.720724
1416.153002	63.853085
1436.751422	63.972723
1457.649452	64.090416
1478.851452	64.195376
1500.361842	64.300339
1522.185107	64.405304
1544.325799	64.505371
1566.788535	64.611905
1589.577999	64.700133
1612.698944	64.824979
1636.156190	64.930141
1659.954630	65.062490
1684.099226	65.194871
1708.595013	65.327253
1733.447100	65.459611
1758.660669	65.592025
1784.240977	65.724360
1810.193360	65.856751
1836.523229	65.989119
1863.236074	66.109464
1890.337467	66.226445
1917.833058	66.358858
1945.728583	66.463808
1974.029857	66.596162
2002.742782	66.728539
2031.873347	66.860926
2061.427625	66.993280
2091.411780	67.125691
2121.832065	67.285465
2152.694823	67.445243
2184.006490	67.605022
2215.773596	67.764804
2248.002765	67.954515
2280.700718	68.139200
2313.874274	68.319530
2347.530351	68.513605
2381.675966	68.700804
2416.318240	68.915410
2451.464399	69.104414
2487.121769	69.317251
2523.297789	69.559245
2560.000000	69.788997
2597.236057	69.998923
2635.013726	70.257927
2673.340883	70.473612
2712.225522	70.738355
2751.675750	71.003071
2791.699796	71.253417
2832.306004	71.477768
2873.502844	71.742524
2915.298905	72.007284
2957.702904	72.272023
3000.723683	72.481941
3044.370214	72.691863
3088.651599	72.865341
3133.577071	73.052565
3179.155999	73.212007
3225.397888	73.344698
3272.312380	73.443765
3319.909260	73.532020
3368.198452	73.575233
3417.190027	73.579914
3466.894200	73.541974
3517.321337	73.435868
3568.481954	73.278008
3620.386720	73.078517
3673.046457	72.813764
3726.472148	72.494182
3780.674934	72.174605
3835.666117	71.758328
3891.457165	71.338489
3948.059713	70.808992
4005.485564	70.279484
4063.746693	69.749967
4122.855250	69.220471
4182.823560	68.690991
4243.664130	68.271150
4305.389646	67.982668
4368.012981	67.762751
4431.547192	67.676431
4496.005531	67.755998
4561.401437	67.834639
4627.748549	67.941153
4695.060701	68.016824
4763.351932	68.057037
4832.636481	68.003995
4902.928797	67.926090
4974.243539	67.821124
5046.595577	67.688743
5120.000000	67.528962
5194.472115	67.336975
5270.027452	67.127039
5346.681766	66.862301
5424.451043	66.597559
5503.351500	66.332812
5583.399591	66.068060
5664.612008	65.889625
5747.005687	65.811721
5830.597810	65.915720
5915.405808	66.075496
6001.447367	66.355664
6088.740429	66.665870
6177.303198	67.024228
6267.154142	67.398631
6358.311998	67.815774
6450.795775	68.202236
6544.624761	68.545811
6639.818520	68.841387
6736.396904	68.974660
6834.380053	69.010926
6933.788400	68.915766
7034.642675	68.755975
7136.963909	68.568776
7240.773439	68.420357
7346.092914	68.334292
7452.944296	68.412771
7561.349867	68.545167
7671.332234	68.802470
7782.914330	68.998263
7896.119426	69.094987
8010.971128	68.933968
8127.493386	68.511695
8245.710500	67.740742
8365.647121	66.791408
8487.328260	65.677582
8610.779292	64.563735
8736.025961	63.614344
8863.094385	62.711494
8992.011061	62.009174
9122.802874	61.424856
9255.497097	60.895353
9390.121402	60.539280
9526.703863	60.438696
9665.272962	60.538463
9805.857594	60.893691
9948.487077	61.368361
10093.191154	61.843040
10240.000000	62.145707
10388.944230	62.247351
10540.054903	62.171204
10693.363532	62.071953
10848.902086	61.994952
11006.703001	61.996024
11166.799182	62.027290
11329.224017	61.974336
11494.011375	61.821832
11661.195620	61.447439
11830.811616	60.885117
12002.894734	60.177056
12177.480858	59.327956
12354.606395	58.428717
12534.308283	57.575016
12716.623996	56.921837
12901.591551	56.842175
13089.249521	57.351589
13279.637040	58.426589
13472.793808	59.805142
13668.760107	61.128844
13867.576801	62.008823
14069.285350	62.340326
14273.927818	62.170488
14481.546879	61.640968
14692.185828	61.056660
14905.888592	60.565124
15122.699734	60.466340
15342.664467	60.696290
15565.828661	61.280626
15792.238852	61.810147
