* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
193.040725	95.351986
195.848567	95.324875
198.697250	95.304555
201.587368	95.283939
204.519524	95.263024
207.494329	95.241805
210.512403	95.218263
213.574377	95.194309
216.680888	95.170007
219.832584	95.145410
223.030122	95.125255
226.274170	95.104808
229.565404	95.084063
232.904509	95.063017
236.292183	95.036006
239.729132	95.000024
243.216073	94.963519
246.753732	94.899760
250.342848	94.891397
253.984168	94.945669
257.678453	94.873299
261.426473	94.836352
265.229008	94.807534
269.086853	94.778297
273.000811	94.745610
276.971700	94.709569
281.000346	94.673003
285.087590	94.653114
289.234284	94.635343
293.441294	94.617314
297.709496	94.599022
302.039780	94.580464
306.433050	94.560902
310.890221	94.540575
315.412224	94.519951
320.000000	94.499028
324.654507	94.477800
329.376716	94.442129
334.167610	94.405837
339.028190	94.372101
343.959469	94.343471
348.962474	94.314424
354.038251	94.283845
359.187855	94.235874
364.412363	94.197450
369.712863	94.269776
375.090460	94.231490
380.546277	94.204094
386.081450	94.232762
391.697134	94.261848
397.394500	94.282541
403.174736	94.254674
409.039048	94.226401
414.988657	94.197717
421.024807	94.168616
427.148753	94.139091
433.361775	94.109137
439.665167	94.107093
446.060244	94.127118
452.548340	94.147434
459.130807	94.168046
465.809019	94.188957
472.584367	94.210173
479.458265	94.231698
486.432146	94.253535
493.507464	94.275690
500.685695	94.298167
507.968337	94.320972
515.356906	94.344107
522.852945	94.367580
530.458016	94.396403
538.173706	94.433754
546.001623	94.471649
553.943399	94.510094
562.000691	94.549099
570.175180	94.588672
578.468569	94.628820
586.882588	94.669552
595.418991	94.710876
604.079560	94.752802
612.866100	94.795337
621.780442	94.838491
630.824447	94.877955
640.000000	94.914000
649.309014	94.950570
658.753431	94.985841
668.335221	95.021387
678.056380	95.057449
687.918938	95.094037
697.924949	95.131156
708.076501	95.167534
718.375711	95.203627
728.824726	95.240245
739.425726	95.287915
750.180921	95.336525
761.092554	95.384453
772.162900	95.433047
783.394268	95.480992
794.789000	95.530685
806.349472	95.602971
818.078095	95.675299
829.977315	95.747733
842.049613	95.820272
854.297507	95.892606
866.723550	95.964918
879.330334	96.026294
892.120489	96.074539
905.096680	96.122824
918.261614	96.171085
931.618037	96.219354
945.168733	96.267632
958.916529	96.328604
972.864291	96.371371
987.014928	96.298917
1001.371391	96.162181
1015.936673	96.058833
1030.713812	96.016578
1045.705890	96.064682
1060.916032	96.119777
1076.347412	96.192303
1092.003245	96.333978
1107.886798	96.478885
1124.001383	96.623360
1140.350359	96.720293
1156.937137	96.792749
1173.765175	96.867252
1190.837983	97.011965
1208.159120	97.156853
